listing_id,listing_name,platform,listing_url,observed_at,check_in,check_out,nights,guests,total_price,nightly_rate,currency,taxes_fees_included,availability_status,notes
airbnb-24113496,"Sleepy Bear Retreat — 2 Bed Cabin, Hot Tub, Views",Airbnb,https://www.airbnb.com/rooms/24113496,,,,,6,,,USD,,,
airbnb-930247369236700271,Almost Heaven 2 — Hot Tub and Pool Table,Airbnb,https://www.airbnb.com/rooms/930247369236700271,,,,,6,,,USD,,,
airbnb-1266883670021125263,Last Chance Summer Deals — Hot Tub & Retro Arcade,Airbnb,https://www.airbnb.com/rooms/1266883670021125263,,,,,6,,,USD,,,
airbnb-688613294900292314,"Spring Special — Hot Tub, Games, Near Dollywood",Airbnb,https://www.airbnb.com/rooms/688613294900292314,,,,,6,,,USD,,,
airbnb-1216108020635667756,Hot Tub • Game Room • Pet-Friendly • King Suite,Airbnb,https://www.airbnb.com/rooms/1216108020635667756,,,,,6,,,USD,,,
airbnb-800986263661042555,Cozy 2 Bedroom Cabin with Kids Loft and Hot Tub,Airbnb,https://www.airbnb.com/rooms/800986263661042555,,,,,6,,,USD,,,
airbnb-1338525206438528718,"Modern Cabin — Views, Hot Tub, Arcade",Airbnb,https://www.airbnb.com/rooms/1338525206438528718,,,,,6,,,USD,,,
airbnb-1400442524915144132,Mountain Falls 6 — Hot Tub Near Smoky Mountains,Airbnb,https://www.airbnb.com/rooms/1400442524915144132,,,,,6,,,USD,,,
airbnb-949280866536435823,Game Room and Hot Tub — 4 Miles to Dollywood,Airbnb,https://www.airbnb.com/rooms/949280866536435823,,,,,6,,,USD,,,
airbnb-22506970,"Hot Tub, Game Room — 5 Min to The Island",Airbnb,https://www.airbnb.com/rooms/22506970,,,,,6,,,USD,,,
airbnb-1386908699440499060,Autumn on Sunrise — Hot Tub and Arcade,Airbnb,https://www.airbnb.com/rooms/1386908699440499060,,,,,6,,,USD,,,
airbnb-1277680145050686238,"20 Private Acres — Hot Tub, Fire Pit & Games",Airbnb,https://www.airbnb.com/rooms/1277680145050686238,,,,,6,,,USD,,,
airbnb-48417646,"Smoky Mountain Views — Pool Table, Game Room, Sleeps 6",Airbnb,https://www.airbnb.com/rooms/48417646,,,,,6,,,USD,,,
airbnb-40067714,"Stoneybrook Mountain Lodge — 2 King Suites, Dogs OK",Airbnb,https://www.airbnb.com/rooms/40067714,,,,,6,,,USD,,,
airbnb-921972111077657081,"Peaceful Stay — Sleeps 6, Hot Tub, Arcade",Airbnb,https://www.airbnb.com/rooms/921972111077657081,,,,,6,,,USD,,,
airbnb-1151751193319654015,"Private 2BR Cabin — Great Location, Sleeps 6",Airbnb,https://www.airbnb.com/rooms/1151751193319654015,,,,,6,,,USD,,,
airbnb-1115188793929858297,"Modern Family Cabin — Pool, Hot Tub & Game Room",Airbnb,https://www.airbnb.com/rooms/1115188793929858297,,,,,6,,,USD,,,
airbnb-19271140,Private Cabin with Hot Tub & Community Pool,Airbnb,https://www.airbnb.com/rooms/19271140,,,,,6,,,USD,,,
airbnb-6403463,"Simple Pleasures — Pool, Hot Tub, Arcade",Airbnb,https://www.airbnb.com/rooms/6403463,,,,,6,,,USD,,,
airbnb-1399346950065237580,"Charming Cabin with Pool Table, Fireplace, Hot Tub",Airbnb,https://www.airbnb.com/rooms/1399346950065237580,,,,,6,,,USD,,,
airbnb-1350822856818402294,Smoky Mountain Retreat — Game Room & Hot Tub,Airbnb,https://www.airbnb.com/rooms/1350822856818402294,,,,,6,,,USD,,,
airbnb-606847009531584903,"Summer Sale — Pool Table, Hot Tub & Arcade",Airbnb,https://www.airbnb.com/rooms/606847009531584903,,,,,6,,,USD,,,
airbnb-773260172213032582,"Cozy Hideaway — Hot Tub, Arcade, Dogs OK",Airbnb,https://www.airbnb.com/rooms/773260172213032582,,,,,6,,,USD,,,
airbnb-569608327731407135,Chic 2BR Cabin — Hot Tub and Pool,Airbnb,https://www.airbnb.com/rooms/569608327731407135,,,,,6,,,USD,,,
airbnb-1090790917979117153,Cozy Log Cabin — Hot Tub & Game Room,Airbnb,https://www.airbnb.com/rooms/1090790917979117153,,,,,6,,,USD,,,
airbnb-50468913,"Cathedral Cabin — 2 King BR, Hot Tub",Airbnb,https://www.airbnb.com/rooms/50468913,,,,,6,,,USD,,,
airbnb-1238402702675362095,"Peaceful 2BR — Mountain Views, Hot Tub, Arcade",Airbnb,https://www.airbnb.com/rooms/1238402702675362095,,,,,6,,,USD,,,
airbnb-1009478970870467577,Secluded Wood Cabin with Hot Tub,Airbnb,https://www.airbnb.com/rooms/1009478970870467577,,,,,6,,,USD,,,
airbnb-897075219705129785,"Pool Cabin — Hot Tub, Decks, Game Systems",Airbnb,https://www.airbnb.com/rooms/897075219705129785,,,,,6,,,USD,,,
airbnb-1173959325276431549,Long Overdue — Hot Tub and Cozy Spaces,Airbnb,https://www.airbnb.com/rooms/1173959325276431549,,,,,6,,,USD,,,
airbnb-54018837,"New Cabin — Hot Tub, Fireplace, Arcade",Airbnb,https://www.airbnb.com/rooms/54018837,,,,,6,,,USD,,,
airbnb-594901396169212655,"Family Cabin — Hot Tub, Game Loft & Pool",Airbnb,https://www.airbnb.com/rooms/594901396169212655,,,,,6,,,USD,,,
airbnb-572534360211247829,5 Min to Dollywood — Hot Tub and Arcade,Airbnb,https://www.airbnb.com/rooms/572534360211247829,,,,,6,,,USD,,,
airbnb-1559510812241171614,Smoky Mountain Cabin Retreat — Games and Views,Airbnb,https://www.airbnb.com/rooms/1559510812241171614,,,,,6,,,USD,,,
airbnb-1663252006933856169,"Smoky Cabin — Hot Tub, Arcade & Mountain Views",Airbnb,https://www.airbnb.com/rooms/1663252006933856169,,,,,6,,,USD,,,
airbnb-1360319876527301902,"Hot Tub, Game Room and Pool Access",Airbnb,https://www.airbnb.com/rooms/1360319876527301902,,,,,6,,,USD,,,
airbnb-1019400033029023142,"Kids Area, Arcade, Hot Tub near Dollywood",Airbnb,https://www.airbnb.com/rooms/1019400033029023142,,,,,6,,,USD,,,
airbnb-1486876819845522198,"Lake Access, Hot Tub, Game Room, Pool, Pets",Airbnb,https://www.airbnb.com/rooms/1486876819845522198,,,,,6,,,USD,,,
airbnb-1663190494981351936,"Upscale Cabin — Arcades, Skeeball, Hot Tub",Airbnb,https://www.airbnb.com/rooms/1663190494981351936,,,,,6,,,USD,,,
airbnb-1663884103878724330,"Dog Friendly — Hot Tub, Game Room, Putt Putt",Airbnb,https://www.airbnb.com/rooms/1663884103878724330,,,,,6,,,USD,,,
airbnb-42405524,"No Steep Roads — Hot Tub, Arcade, Central",Airbnb,https://www.airbnb.com/rooms/42405524,,,,,6,,,USD,,,
airbnb-1415861893994034308,"Pet-Friendly 2BD — Arcade, Hot Tub, Pool",Airbnb,https://www.airbnb.com/rooms/1415861893994034308,,,,,6,,,USD,,,
airbnb-1425643667639322328,"Peaceful 2BR — Hot Tub, Game Room, Jacuzzi",Airbnb,https://www.airbnb.com/rooms/1425643667639322328,,,,,6,,,USD,,,
airbnb-1669195798120806584,"S’more the Merrier — Views, Hot Tub & Game Loft",Airbnb,https://www.airbnb.com/rooms/1669195798120806584,,,,,6,,,USD,,,
airbnb-49755480,"Arcade, Hot Tub, Dog-Friendly 2BR Log Cabin",Airbnb,https://www.airbnb.com/rooms/49755480,,,,,6,,,USD,,,
airbnb-52864151,"Bearadise — Theater, Arcade and Mountain Escape",Airbnb,https://www.airbnb.com/rooms/52864151,,,,,6,,,USD,,,
airbnb-801156671340696334,New 2BD Retreat — Hot Tub + Game Room,Airbnb,https://www.airbnb.com/rooms/801156671340696334,,,,,6,,,USD,,,
airbnb-1613182432834486318,"2 Bedrooms — Game Room, Hot Tub, Resort Pool",Airbnb,https://www.airbnb.com/rooms/1613182432834486318,,,,,6,,,USD,,,
vrbo-4971614,"Cozy Cabin — Indoor Pool, Hot Tub, Game Room",Vrbo,https://www.vrbo.com/4971614,,,,,6,,,USD,,,
vrbo-2808411,"Cute & Comfortable Cabin — Hot Tub, Air Hockey, Pool",Vrbo,https://www.vrbo.com/2808411,,,,,6,,,USD,,,
vrbo-4949589,"Two King Master Suites — Game Room, Hot Tub, Pool",Vrbo,https://www.vrbo.com/4949589,,,,,6,,,USD,,,
vrbo-4242390ha,"2BR — Hot Tub, Foosball, Between Gatlinburg/Pigeon Forge",Vrbo,https://www.vrbo.com/4242390ha,,,,,6,,,USD,,,
vrbo-4971609,"Hidden Cabin — Mountain Views, Pickleball, Hot Tub",Vrbo,https://www.vrbo.com/4971609,,,,,6,,,USD,,,
vrbo-5049196,Little Woods Cabin — Family-Friendly Games,Vrbo,https://www.vrbo.com/5049196,,,,,6,,,USD,,,
vrbo-20182104ha,"Keaton’s Cozy Cabin — Hot Tub, Resort Pool, Game Loft",Vrbo,https://www.vrbo.com/20182104ha,,,,,6,,,USD,,,
vrbo-3951547,Modern Family Cabin — Game Loft and Hot Tub,Vrbo,https://www.vrbo.com/3951547,,,,,6,,,USD,,,
vrbo-2504528,Smoky Mountains FamiLee Cabin in Wears Valley,Vrbo,https://www.vrbo.com/2504528,,,,,6,,,USD,,,
vrbo-3733585,"Friends/Couples — Game Room, Poker Table, Hot Tub",Vrbo,https://www.vrbo.com/3733585,,,,,6,,,USD,,,
vrbo-9821816ha,"Summer Specials — Hot Tub, Arcade, Pool Table",Vrbo,https://www.vrbo.com/9821816ha,,,,,6,,,USD,,,
vrbo-2553712,"Smoky Mountain Log Cabin — Hot Tub, Fire Pit, 2 Kings",Vrbo,https://www.vrbo.com/2553712,,,,,6,,,USD,,,
vrbo-2795924,"Majestic Views — 2BR + Loft, Hot Tub, Game Room, Pool",Vrbo,https://www.vrbo.com/2795924,,,,,6,,,USD,,,
vrbo-3644347,New Sugar Plum Pool Cabin — Hot Tub & Game Room,Vrbo,https://www.vrbo.com/3644347,,,,,6,,,USD,,,
vrbo-5101925,"Hidden Wears Valley Family Retreat — Hot Tub, Pets",Vrbo,https://www.vrbo.com/5101925,,,,,6,,,USD,,,
booking-beautiful-2-bed-cabin-with-hot-tub-and-resort-pool-sevierville,Beautiful 2 Bed Cabin with Hot Tub and Resort Pool,Booking.com,https://www.booking.com/hotel/us/beautiful-2-bed-cabin-with-hot-tub-and-resort-pool-sevierville.html,,,,,6,,,USD,,,
booking-pigeon-forge-cabin-premier-location-and-hot-tub,Pigeon Forge Cabin — Premier Location & Hot Tub,Booking.com,https://www.booking.com/hotel/us/pigeon-forge-cabin-premier-location-and-hot-tub.html,,,,,6,,,USD,,,
booking-hidden-mountain-dream-2-bedroom-hot-tub-lake-view-free-attraction-tickets-dollyw,"Hidden Mountain Dream — Lake View, Foosball, Hot Tub",Booking.com,https://www.booking.com/hotel/us/hidden-mountain-dream-2-bedroom-hot-tub-lake-view-free-attraction-tickets-dollyw.html,,,,,6,,,USD,,,
booking-top-of-the-world-pigeon-forge,"Top of the World — 2 Bedroom, Mountain View, Hot Tub",Booking.com,https://www.booking.com/hotel/us/top-of-the-world-pigeon-forge.html,,,,,6,,,USD,,,
booking-moonrise-cabin-hot-tub-arcade-free-attraction-tickets,Moonrise Cabin — Hot Tub and Arcade,Booking.com,https://www.booking.com/hotel/us/moonrise-cabin-hot-tub-arcade-free-attraction-tickets.html,,,,,6,,,USD,,,
booking-alpenhaus-2-bd-cabin-w-private-hot-tub-amp-amazing-location,"Alpenhaus Cozy Log Cabin — 2 Bedrooms, Hot Tub",Booking.com,https://www.booking.com/hotel/us/alpenhaus-2-bd-cabin-w-private-hot-tub-amp-amazing-location.html,,,,,6,,,USD,,,
booking-charming-sevierville-cabin-with-private-hot-tub,2 Mi to Parkway — Pet-Friendly Cabin with Hot Tub,Booking.com,https://www.booking.com/hotel/us/charming-sevierville-cabin-with-private-hot-tub.html,,,,,6,,,USD,,,
booking-whisperwood-lodge-hot-tub-arcade-2fireplace,"Whisperwood Lodge — Hot Tub, Arcade, Two Fireplaces",Booking.com,https://www.booking.com/hotel/us/whisperwood-lodge-hot-tub-arcade-2fireplace.html,,,,,6,,,USD,,,
